Device,Category,Price (INR),Age (months),Physical Condition,Performance,Surface Wear,Internal Damage,Accessories Condition,Repair Cost (INR),Resale Price (INR)
MacBook Pro,Laptop,78728,32,0,2,0,2,3,18400,72182
LG Microwave,Appliance,102124,20,0,1,5,0,0,10500,86949
Microsoft Xbox,Gaming Console,22016,51,5,1,0,5,1,33800,28899
Canon DSLR,Camera,109699,37,3,5,2,3,0,36000,89853
LG Microwave,Appliance,95595,1,5,4,2,5,5,49000,96674
Sony Headphones,Audio,178340,7,2,3,1,2,4,25700,167114
Bose Speaker,Audio,181836,31,1,0,5,2,1,19300,134208
Xiaomi Tablet,Tablet,133911,46,4,2,2,5,2,39600,93451
iPhone 13,Phone,44101,56,0,2,1,0,1,8300,35021
Xiaomi Tablet,Tablet,3360,40,1,3,5,0,5,21500,13035
Bose Speaker,Audio,137227,43,4,4,1,4,1,38300,102172
iPhone 13,Phone,150626,41,3,1,5,3,1,29300,101260
Apple Watch,Wearable,111534,27,1,0,5,1,4,16700,89212
Samsung TV,TV,168565,46,4,1,0,0,5,11000,121810
Lenovo Monitor,Monitor,23099,21,1,0,4,1,5,16000,25902
GoPro Camera,Camera,62068,47,5,5,0,3,5,39000,57051
MacBook Pro,Laptop,80191,37,3,4,5,3,5,41500,68464
Philips Air Purifier,Appliance,168626,34,4,1,2,0,0,10000,124724
Bose Speaker,Audio,38180,21,3,5,5,0,3,27900,42012
Microsoft Xbox,Gaming Console,53637,9,5,2,1,4,2,34100,57546
Sony Headphones,Audio,105289,18,4,2,4,1,1,21800,87761
Sony Headphones,Audio,176072,42,3,3,1,3,5,32500,130697
Xiaomi Tablet,Tablet,160777,11,0,0,3,4,0,24500,141675
Dell Laptop,Laptop,150820,22,0,1,1,2,2,16100,133231
Philips Air Purifier,Appliance,174477,18,3,3,1,4,2,35100,148408
Philips Air Purifier,Appliance,143532,26,0,5,1,3,0,31500,129140
Sony Headphones,Audio,184169,46,2,4,3,5,3,45900,127926
Dell Laptop,Laptop,67784,56,4,4,1,1,5,26500,53920
MacBook Pro,Laptop,54785,14,3,0,3,2,2,19100,51734
iPhone 13,Phone,139541,51,2,3,3,4,5,39500,98591
GoPro Camera,Camera,147441,17,1,1,5,2,5,25500,124068
Asus ZenBook,Laptop,104712,2,5,3,0,0,3,16400,101394
Sony PlayStation,Gaming Console,139729,26,0,1,4,2,2,20600,115097
Lenovo Monitor,Monitor,145370,52,4,4,5,0,2,25100,93957
Sharp LED,TV,120210,50,0,4,5,3,5,38500,90174
MacBook Pro,Laptop,51557,58,3,1,3,2,1,21300,39006
Panasonic VCR,Appliance,120805,29,5,4,3,5,5,50500,97129
Philips Air Purifier,Appliance,50417,11,4,3,5,5,5,49500,58277
Xiaomi Tablet,Tablet,123940,57,4,5,2,0,0,22000,84744
Panasonic VCR,Appliance,142474,53,5,2,3,1,4,23700,90923
Sony Headphones,Audio,175259,5,3,4,0,4,1,35800,164241
Sony Headphones,Audio,35801,36,5,2,2,0,3,16400,32545
Samsung Refrigerator,Appliance,181114,18,2,1,3,2,0,19500,149208
Philips Air Purifier,Appliance,97587,22,2,2,5,4,4,38700,84733
Apple Watch,Wearable,50442,38,4,1,1,3,4,26700,46137
Sony Headphones,Audio,9394,7,1,4,3,5,0,42500,28624
MacBook Pro,Laptop,148168,55,5,0,3,2,0,19500,87538
Bose Speaker,Audio,149486,1,2,3,5,4,4,41700,136702
GoPro Camera,Camera,71524,52,2,1,2,2,2,19600,54145
Sony Headphones,Audio,155504,32,1,5,0,2,0,26000,134293
MacBook Pro,Laptop,119348,25,3,0,4,2,5,23000,94447
Microsoft Xbox,Gaming Console,25211,57,0,5,4,3,5,40000,34496
iPhone 13,Phone,128668,6,2,1,0,0,0,5000,122161
GoPro Camera,Camera,6658,18,4,4,3,5,1,46300,27611
Apple Watch,Wearable,66154,57,5,0,5,5,1,38300,46604
Xiaomi Tablet,Tablet,170418,60,1,1,0,3,0,19000,115159
Sharp LED,TV,127999,41,4,5,2,5,2,48600,97899
Philips Air Purifier,Appliance,17238,1,3,2,2,2,3,24400,26938
GoPro Camera,Camera,118208,55,5,2,5,3,0,33500,71717
Canon DSLR,Camera,132675,39,0,0,1,1,1,7300,105146
MacBook Pro,Laptop,96011,51,5,4,2,0,1,20800,68487
Dell Laptop,Laptop,199001,5,4,2,1,5,2,38100,173276
Sony Headphones,Audio,145123,20,0,3,2,5,4,40200,130393
Lenovo Monitor,Monitor,175547,21,0,0,1,3,1,17300,151721
LG Microwave,Appliance,165196,54,4,0,0,2,2,15600,108570
GoPro Camera,Camera,111079,50,4,1,4,2,3,25400,73793
Asus ZenBook,Laptop,135495,5,2,1,3,4,1,30300,122869
Asus ZenBook,Laptop,84652,20,5,2,5,4,0,38500,71734
LG Microwave,Appliance,47176,49,3,3,0,4,4,35200,46613
